1,4,4.9,4.2,Home
2,1,2.61,3.32,Home
1,2,3.14,3.52,Home
1,2,1.33,5.88,Home
0,3,6.52,4.63,Home
5,0,1.43,4.87,Home
0,0,2.47,3.35,Home
3,1,3.27,3.79,Home
1,2,1.64,4.33,Home
0,2,1.79,3.57,Home
5,2,1.63,4.06,Home
2,1,1.35,5.65,Home
2,0,1.37,5.33,Home
2,1,2.6,3.44,Home
2,1,1.78,3.93,Home
2,0,1.69,3.97,Home
1,4,11.52,7.03,Home
1,0,2.22,3.47,Home
2,1,1.61,4.12,Home
2,2,1.46,4.75,Home
2,2,4.42,4.42,Home
1,1,2.23,3.13,Home
2,1,2.1,3.56,Home
0,2,2.04,3.48,Home
0,1,1.29,6.18,Home
2,1,1.2,7.14,Home
3,2,1.33,5.65,Home
2,2,11.95,7.83,Home
2,0,2.19,3.52,Home
3,3,3.91,3.39,Home
2,1,1.39,5.61,Home
2,2,1.47,4.73,Home
1,2,3.02,3.25,Home
0,2,3.84,3.58,Home
1,2,6.89,4.51,Home
0,2,1.36,5.4,Home
0,3,2.25,3.33,Home
2,3,4.74,4.42,Home
3,1,2.69,3.65,Home
3,1,1.64,3.8,Home
2,1,1.69,3.86,Home
2,0,1.91,4.01,Home
3,0,2.16,3.62,Home
2,1,2.6,3.29,Home
1,2,3.17,3.38,Home
1,1,1.54,4.32,Home
2,0,1.43,4.8,Home
0,2,2.9,3.62,Home
1,1,2.51,3.6,Home
0,2,3.76,3.5,Home
1,2,5.2,4.34,Home
1,1,1.75,3.87,Home
1,2,9.49,6.14,Home
2,0,1.58,4.46,Home
2,1,1.08,13.34,Home
3,0,2.27,3.22,Home
2,3,1.84,3.77,Home
1,0,3.66,3.58,Home
2,2,1.48,4.71,Home
2,1,1.48,4.83,Home
1,3,4.65,3.75,Home
1,1,3.4,3.1,Home
2,4,5.13,4.07,Home
3,2,2.68,3.33,Home
0,0,2.29,3.57,Home
1,1,2.27,3.42,Home
3,0,1.08,14.38,Home
0,9,3.16,3.38,Home
1,0,3.73,3.58,Home
1,1,4.14,3.51,Home
0,2,12.14,7.36,Home
2,1,2.38,3.48,Home
0,0,1.75,4.25,Home
1,0,1.28,6.09,Home
2,1,1.49,4.43,Home
1,1,1.51,4.49,Home
1,1,2.07,3.27,Home
2,0,1.79,4.06,Home
1,0,3.95,3.32,Home
1,0,1.37,5.77,Home
0,2,1.14,9.06,Home
1,4,4.7,4.26,Home
1,2,2,3.67,Home
1,0,3.22,3.26,Home
2,1,1.59,4.35,Home
1,5,2.44,3.63,Home
0,0,2.37,3.27,Home
3,0,5.1,3.93,Home
1,1,2.25,3.58,Home
5,0,1.53,4.19,Home
1,3,8.93,5.61,Home
2,2,2.32,3.41,Home
2,2,2.4,3.63,Home
2,0,1.43,4.72,Home
2,0,1.92,3.81,Home
2,1,1.38,5.16,Home
2,0,1.94,3.46,Home
0,1,9.16,5.35,Home
3,2,1.42,5.15,Home
1,2,3.27,3.72,Home
1,1,2.8,3.12,Home
2,0,3.08,3.5,Home
0,0,2.4,3.22,Home
2,0,2.02,3.77,Home
0,2,1.77,3.58,Home
8,0,1.1,11.15,Home
2,1,2.74,3.46,Home
1,3,2.18,3.58,Home
0,0,2.75,3.62,Home
2,2,4.15,3.9,Home
3,1,3.37,3.53,Home
3,2,26.07,12.34,Home
1,1,2.13,3.41,Home
1,0,2.14,3.34,Home
0,1,2.48,3.28,Home
4,0,1.41,4.99,Home
2,5,3.08,3.42,Home
3,1,1.2,7.44,Home
2,2,2.58,3.65,Home
3,2,2.06,3.28,Home
0,3,9.02,5.44,Home
